Basin,Country,Year,Population(total),Population in largest city,Rural population,Rural population growth (annual %),Urban population growth (annual %),Employment in Services (% of total employment),Employment in industry (% of total employment),Employment in agriculture (% of total employment),Unemployment,"Agriculture, forestry, and fishing, value added (current US$)",GDP,GDP per capital index,Energy use per capita kg oil equivalent,Annual freshwater withdrawals (industry),Annual freshwater withdrawals (agriculture),Individuals using the Internet (% of population),Armed forces personnel (total),Military expenditure (current USD),Food imports,Food exports,Inflation,Electricity production from hydroelectric sources (% of total),Mortality rate infant (per 1000 live births),Population density people per sq km land area,Energy imports net percent of energy use,voice and accountability,Political stability and absence of violence terrorism,Government effectiveness,Regulatory quality,Rule of law estimate,Mean SPEI,Mean temp,Min temp,Sum snow,Sum rain,Max temp,Conflict
Amur,China,1983,1023310000.0,6569409.0,802837900.0,0.6287119,4.474842,30.856997,25.184237,44.598106,4.9378996,75130340000.0,230999980000.0,31.8646,621.9107,7.781319,87.27789,0.0,3725242.5,8579169300.0,8.31692,15.897773,12.590992,21.593246,44.1,108.999016,-2.5334964,-1.3602748,-0.70373285,-0.47021073,-0.65523434,-0.6913858,0.1075497,14.117203,9.121984,92.36424,1099.9224,19.096743,0
Amur,China,1984,1036825000.0,6828127.0,806618750.0,0.4698346,4.320433,31.282845,25.346405,44.135696,4.7225595,81986340000.0,259999990000.0,34.31289,651.07495,6.9987216,87.002075,0.0,3730878.0,8836378000.0,9.025616,15.270339,12.097456,22.62338,43.4,110.43858,-2.635367,-1.4180878,-0.7931945,-0.48705366,-0.7488833,-0.7049556,0.946151,0.34484863,-4.7550755,466.56714,591.98315,5.3828716,0
Amur,China,1985,1051040000.0,7096280.0,810625100.0,0.4954569,4.339047,29.215446,23.56578,50.907585,4.6252193,86453490000.0,310000030000.0,38.991463,657.75977,7.5188127,86.3094,0.0,3900000.0,10648736000.0,4.098321,12.566231,14.25056,19.372911,43.0,111.952705,-3.7340593,-1.4225283,-0.62857664,-0.49190494,-0.7984106,-0.69609046,0.79528004,0.5023689,-4.598773,436.75455,563.33234,5.601918,0
Amur,China,1986,1066790000.0,7375356.0,815464960.0,0.5952743,4.438101,29.128277,23.593887,50.900135,4.592184,80117430000.0,300999970000.0,37.65788,671.2096,8.030558,85.62684,0.0,3601770.5,10789350000.0,4.393764,12.417229,13.317766,19.295357,43.0,113.63033,-3.9366522,-1.4360411,-0.6370053,-0.4919118,-0.7961415,-0.6951765,0.16304553,1.135539,-4.1096363,417.57858,475.64215,6.3762226,0
Amur,China,1987,1084035000.0,7665406.0,821058940.0,0.68364745,4.5315824,28.974874,23.489098,51.0744,4.5173674,71848940000.0,272999970000.0,37.255074,694.42236,8.534369,84.95486,0.0,3769718.0,10037882000.0,7.336018,14.589596,7.233835,19.907389,43.1,115.46721,-3.2099767,-1.4290776,-0.63052946,-0.50565183,-0.7900884,-0.6983497,-0.34425923,0.2151432,-5.1072025,475.55002,551.4617,5.348033,0
Amur,China,1988,1101630000.0,7967288.0,826508900.0,0.6615806,4.514831,29.52658,24.133503,50.21964,4.2968397,78830830000.0,313000000000.0,39.01146,720.3415,9.030429,84.29321,0.0,3778818.5,10732628000.0,5.7161245,12.941244,18.811817,19.739677,43.3,117.341354,-0.65436125,-1.429832,-0.5725541,-0.48484558,-0.77751297,-0.799903,0.8051133,1.6061344,-3.3383312,430.53906,561.3123,6.556406,0
Amur,China,1989,1118650000.0,8280178.0,831145800.0,0.55944717,4.402632,29.231472,23.680658,50.91103,3.175191,85591110000.0,348000000000.0,37.14327,724.1161,9.518915,83.64167,0.0,3900000.0,11251333000.0,5.0550504,12.744594,18.245638,19.22462,43.3,119.15426,-3.903685,-1.4373004,-0.5579707,-0.47839046,-0.7711123,-0.80740714,-0.044952244,2.3082314,-2.8715773,412.6799,490.5913,7.4889774,0
Amur,China,1990,1135185000.0,8605812.0,835019400.0,0.46497503,4.3096786,31.063438,24.164066,44.796787,3.3420334,95931580000.0,362000000000.0,34.0915,769.6015,10.0,83.0,0.0,3499999.5,9926349000.0,4.875361,11.369146,3.05229,20.396994,43.3,120.915504,-4.0102644,-1.4058329,-0.597,-0.46186012,-0.7628805,-0.8169402,0.3996067,2.5152931,-2.4144688,357.62503,593.3805,7.5467596,0
Amur,China,1991,1150780000.0,9050404.0,836479000.0,0.17464381,4.601685,18.900307,21.399887,59.699806,2.37,92140200000.0,385000000000.0,35.537743,736.8872,12.622836,81.13884,-0.4328804,3200000.0,9802375000.0,4.824836,12.168264,3.5566845,18.460062,42.9,122.57662,-3.6024876,-1.4259205,-0.31221116,-0.45113754,-0.8095353,-0.76334167,0.86711,1.3333302,-3.662737,387.62585,577.54596,6.376878,0
Amur,China,1992,1164970000.0,9518933.0,836448450.0,-0.0036470294,4.4251175,19.799854,21.700024,58.500122,2.37,91056260000.0,429000000000.0,39.308167,752.66364,15.159722,79.33867,0.12260628,3160000.0,12244268000.0,4.890493,11.345466,6.353981,17.567312,42.3,124.08809,-2.6477199,-1.3992181,-0.32044548,-0.27053022,-0.39059603,-0.3944926,0.05834426,1.7408037,-3.4267368,374.48627,471.64554,6.898885,0
Amur,China,1993,1178440000.0,10010327.0,835478600.0,-0.11601621,4.3015475,21.199556,22.400013,56.400433,2.69,85866350000.0,447000000000.0,43.476357,788.1634,17.614815,77.59654,0.00016975403,3030000.0,12360226000.0,2.8686666,10.834947,14.610079,18.108204,41.3,125.52286,-0.3708601,-1.3885657,-0.18140393,-0.17097679,-0.40859437,-0.3622868,-0.014047578,1.6750612,-3.3548136,412.66266,552.0528,6.8001785,0
Amur,China,1994,1191835000.0,10527819.0,833998460.0,-0.17731869,4.2458405,23.000519,22.699577,54.299904,2.9,110000000000.0,567000000000.0,40.278374,816.1968,18.075445,76.29394,0.0011692047,2930000.0,9867120000.0,4.392123,10.0643215,24.25699,18.034033,40.1,126.949646,-1.4798732,-1.3753141,-0.11344719,-0.46099404,-0.5659261,-0.7691547,0.85755754,1.8428822,-3.2881336,414.1239,579.3051,6.9437447,0
Amur,China,1995,1204855000.0,11072063.0,831819840.0,-0.26156735,4.159638,24.799824,23.000074,52.200104,3.0,144000000000.0,738000000000.0,39.09219,866.86615,18.530046,75.008385,0.0049495697,4130000.0,12385129000.0,6.992863,8.266681,16.791225,18.908062,38.7,128.33662,-1.2542448,-1.3525128,-0.12069476,-0.20687206,-0.28563413,-0.4404745,0.3488481,2.3970127,-2.62846,350.454,472.5869,7.4930973,0
Amur,China,1996,1217550000.0,11645251.0,828956740.0,-0.34479094,4.086052,26.0,23.499638,50.500362,3.12,167000000000.0,869000000000.0,37.776863,881.6642,18.978737,73.73955,0.01309967,4135000.0,14275401000.0,5.900043,8.2275,8.31316,17.400393,37.2,129.68898,-1.1305962,-1.3615452,-0.09784877,-0.34865388,-0.2666527,-0.54559,-0.46085408,1.2570992,-3.9715023,378.63458,505.0455,6.4052544,0
Amur,China,1997,1230075000.0,12246411.0,825589440.0,-0.40703714,4.0082855,26.39969,23.699852,49.900455,3.2299998,172000000000.0,968000000000.0,35.741352,872.3426,19.421629,72.48711,0.03240013,3640000.0,15699587000.0,5.044874,7.139494,2.7864647,17.253725,35.6,131.0231,0.6528263,-1.4046519,-0.31062013,-0.22494088,-0.28238776,-0.5321455,-0.47134295,1.9661264,-3.150094,391.1842,498.5594,7.0462914,1
Amur,China,1998,1241935000.0,12879499.0,821328830.0,-0.51739955,3.9080787,26.699888,23.500431,49.79968,3.24,177000000000.0,1040000000000.0,34.98595,868.3288,19.858835,71.25074,0.16900063,3820000.0,17031780000.0,4.76664,6.6273303,-0.77318573,17.815845,33.8,132.28638,0.30705738,-1.4374378,-0.39410526,-0.1987833,-0.2677084,-0.47680536,-0.042236373,2.2940903,-2.6286478,344.5915,606.52,7.3597393,0
Amur,China,1999,1252735000.0,13545316.0,815968960.0,-0.6547313,3.7700887,26.90002,23.000532,50.09945,3.25,176000000000.0,1100000000000.0,34.233616,876.9702,20.290466,70.03015,0.7080002,3820000.0,20473915000.0,4.059056,6.019372,-1.4014721,16.437016,31.9,133.43677,1.272192,-1.4179823,-0.25579768,-0.17758377,-0.30900553,-0.5184303,0.3591497,1.2210445,-4.0260067,426.18637,439.53787,6.337638,0
Amur,China,2000,1262645000.0,14246541.0,809645800.0,-0.777936,3.6492527,27.04088,23.023355,49.935764,3.26,178000000000.0,1220000000000.0,33.632683,897.492,20.716623,68.82503,1.7800007,3910000.0,22237140000.0,4.141567,5.441092,0.34781075,16.405382,30.0,134.49248,2.754653,-1.3840805,-0.20991689,-0.15884289,-0.32495517,-0.51611716,-0.7743023,1.091898,-4.1527157,437.9044,462.44876,6.2731133,1
