Year,Country,Basin,"Agriculture, forestry, and fishing, value added (current US$)",Annual freshwater withdrawals (industry),Armed forces personnel (total),Electricity production from hydroelectric sources (% of total),Energy imports net percent of energy use,Energy use per capita kg oil equivalent,Food exports,GDP,Inflation,Military expenditure (current USD),Population density people per sq km land area,Population(total),Regulatory quality,Rural population,Rural population growth (annual %),Urban population growth (annual %),Annual freshwater withdrawals (agriculture),Employment in Services (% of total employment),Employment in agriculture (% of total employment),Employment in industry (% of total employment),Food imports,GDP per capital index,Government effectiveness,Individuals using the Internet (% of population),Max temp,Mean SPEI,Mean temp,Min temp,Mortality rate infant (per 1000 live births),Political stability and absence of violence terrorism,Population in largest city,Rule of law estimate,Sum rain,Sum snow,Unemployment,voice and accountability,Conflict,is_missing__Population(total),is_missing__Population in largest city,is_missing__Rural population,is_missing__Rural population growth (annual %),is_missing__Urban population growth (annual %),is_missing__Employment in Services (% of total employment),is_missing__Employment in industry (% of total employment),is_missing__Employment in agriculture (% of total employment),is_missing__Unemployment,"is_missing__Agriculture, forestry, and fishing, value added (current US$)",is_missing__GDP,is_missing__GDP per capital index,is_missing__Energy use per capita kg oil equivalent,is_missing__Annual freshwater withdrawals (industry),is_missing__Annual freshwater withdrawals (agriculture),is_missing__Individuals using the Internet (% of population),is_missing__Armed forces personnel (total),is_missing__Military expenditure (current USD),is_missing__Food imports,is_missing__Food exports,is_missing__Inflation,is_missing__Electricity production from hydroelectric sources (% of total),is_missing__Mortality rate infant (per 1000 live births),is_missing__Population density people per sq km land area,is_missing__Energy imports net percent of energy use,is_missing__voice and accountability,is_missing__Political stability and absence of violence terrorism,is_missing__Government effectiveness,is_missing__Regulatory quality,is_missing__Rule of law estimate,is_missing__Mean SPEI,is_missing__Mean temp,is_missing__Min temp,is_missing__Sum snow,is_missing__Sum rain,is_missing__Max temp
1983,China,Amur,1.56367733,0.479200689,4.485409739,0.176510061,-0.250342783,-0.199242377,0.286305028,0.414019533,0.425689669,0.481060528,0.016704492,7.374900492,-0.030374786,8.65215295,-0.056719164,1.264390128,0.417057846,-0.742972527,0.45515767,0.527136904,-0.592773023,0.384715029,0.072533915,-0.73853611,-0.064902885,0.341001701,-0.025022812,0.006536698,0.134761712,0.259784352,-0.113774857,-0.049532822,0.392827542,-0.278495845,-0.349942701,-0.662032585,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1984,China,Amur,1.727645504,0.371223702,4.493056428,0.207685104,-0.251922538,-0.178227134,0.24013061,0.489435681,0.386251071,0.504380994,0.024169929,7.476759983,-0.158738714,8.694047653,-0.134880594,1.156028669,0.399554683,-0.714781373,0.430182912,0.552302039,-0.489186788,0.661487172,0.046593397,-0.73853611,-1.57515023,1.380354294,-1.553217111,-1.486030238,0.111979537,0.141083197,-0.078829069,-0.071687392,-0.309813698,1.444035147,-0.395347931,-0.74301252,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1985,China,Amur,1.834481915,0.442982016,4.722534446,0.109315852,-0.268960466,-0.173410171,0.041128624,0.619463582,0.558306205,0.668702931,0.032022031,7.583895215,-0.226625413,8.738441069,-0.122275423,1.169091639,0.35559767,-0.851643267,0.795932554,0.275985694,-1.209382667,1.190386394,0.039121733,-0.73853611,-1.551027629,1.1933666,-1.535738503,-1.4692189,0.098961151,0.3595045,-0.042608868,-0.057213828,-0.349446864,1.306801817,-0.41587246,-0.749232426,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1986,China,Amur,1.682948631,0.513588839,4.317873229,0.106968828,-0.272102167,-0.163718462,0.030163198,0.596058423,0.483766379,0.681452049,0.040722028,7.702599394,-0.223515174,8.792070411,-0.073169158,1.238605955,0.312282552,-0.857413858,0.795530179,0.280347322,-1.166199373,1.039628671,0.039111167,-0.73853611,-1.465756926,0.40978258,-1.465481312,-1.416609104,0.098961151,0.34832103,-0.004913265,-0.055721663,-0.470750236,1.218530981,-0.422838071,-0.768160101,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1987,China,Amur,1.48519933,0.583100946,4.545757592,0.125490811,-0.260833275,-0.146991758,0.190033052,0.523242856,-0.002402223,0.613318337,0.050247906,7.832571049,-0.215218236,8.854055978,-0.029693018,1.30420952,0.26963884,-0.867569142,0.80494223,0.264086226,-0.736146127,0.994092611,0.017949558,-0.73853611,-1.578986849,-0.218964976,-1.567609356,-1.52390376,0.102215747,0.356913424,0.034264627,-0.060902349,-0.365867728,1.485385145,-0.438613419,-0.758406174,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1988,China,Amur,1.652178291,0.651543627,4.558105865,0.120415326,-0.221202168,-0.128314884,0.068726757,0.627265172,0.922797508,0.676309208,0.059967031,7.965180575,-0.197981188,8.914445694,-0.040549046,1.292453689,0.227650667,-0.831046184,0.758776653,0.364084617,-0.972917139,1.192646997,0.049994155,-0.73853611,-1.445914133,1.205553827,-1.413263573,-1.333650283,0.10872494,0.433837359,0.075040702,-0.226702121,-0.352241221,1.27819067,-0.485112473,-0.759462879,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1989,China,Amur,1.813857225,0.718941304,4.722534446,0.104828108,-0.27159093,-0.125594974,0.054254797,0.71828463,0.877553988,0.723338884,0.069368582,8.093456456,-0.189207837,8.965826084,-0.090794708,1.213714449,0.186304073,-0.850582345,0.796118618,0.293812395,-1.069542741,0.981453491,0.059935962,-0.73853611,-1.343214214,0.151992584,-1.335358183,-1.283447902,0.10872494,0.453187175,0.117303659,-0.238953664,-0.450070816,1.195981375,-0.721616111,-0.76992403,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1990,China,Amur,2.061160024,0.785317846,4.17978234,0.140307773,-0.273243706,-0.092819,-0.046967818,0.754692413,-0.336550636,0.603205921,0.078502219,8.218077002,-0.177924571,9.008748528,-0.137271313,1.148481424,0.145583826,-0.729306125,0.465888428,0.368827365,-1.095806962,0.636459669,0.085395047,-0.73853611,-1.336850919,0.702973714,-1.312382409,-1.234282945,0.10872494,0.4014016,0.161287985,-0.2545177,-0.30788072,0.942552767,-0.686436795,-0.725846814,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
1991,China,Amur,1.970485336,1.147197313,3.772719448,0.081690216,-0.266920123,-0.116392345,0.011841249,0.8145052,-0.296244332,0.59196551,0.087116602,8.335612981,-0.241873956,9.02492201,-0.280102941,1.353406264,0.027474996,-1.534505869,1.270800303,-0.060116314,-1.103191926,0.799953281,0.101909352,-0.753434202,-1.465684749,1.282391808,-1.443534201,-1.368542212,0.095706554,0.779270378,0.221340312,-0.167010706,-0.329784915,1.080652558,-0.891393512,-0.753983955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
1992,China,Amur,1.944561815,1.497218036,3.718444305,0.054672838,-0.2521141,-0.105024122,-0.048710488,0.928929661,-0.072711598,0.813365801,0.094954936,8.442559794,0.332362963,9.024583493,-0.367815075,1.229494368,-0.086763422,-1.474955823,1.206005385,-0.01354123,-1.0935952,1.22618887,0.380070424,-0.73431647,-1.408198452,0.280017057,-1.398320532,-1.343158874,0.076178976,0.768344766,0.284625879,0.435186283,-0.476278817,1.020168437,-0.891393512,-0.716581318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
