Year,Country,Basin,"Agriculture, forestry, and fishing, value added (current US$)",Annual freshwater withdrawals (industry),Armed forces personnel (total),Electricity production from hydroelectric sources (% of total),Energy imports net percent of energy use,Energy use per capita kg oil equivalent,Food exports,GDP,Inflation,Military expenditure (current USD),Population density people per sq km land area,Population(total),Regulatory quality,Rural population,Rural population growth (annual %),Urban population growth (annual %),Annual freshwater withdrawals (agriculture),Employment in Services (% of total employment),Employment in agriculture (% of total employment),Employment in industry (% of total employment),Food imports,GDP per capital index,Government effectiveness,Individuals using the Internet (% of population),Max temp,Mean SPEI,Mean temp,Min temp,Mortality rate infant (per 1000 live births),Political stability and absence of violence terrorism,Population in largest city,Rule of law estimate,Sum rain,Sum snow,Unemployment,voice and accountability,Conflict,is_missing__Population(total),is_missing__Population in largest city,is_missing__Rural population,is_missing__Rural population growth (annual %),is_missing__Urban population growth (annual %),is_missing__Employment in Services (% of total employment),is_missing__Employment in industry (% of total employment),is_missing__Employment in agriculture (% of total employment),is_missing__Unemployment,"is_missing__Agriculture, forestry, and fishing, value added (current US$)",is_missing__GDP,is_missing__GDP per capital index,is_missing__Energy use per capita kg oil equivalent,is_missing__Annual freshwater withdrawals (industry),is_missing__Annual freshwater withdrawals (agriculture),is_missing__Individuals using the Internet (% of population),is_missing__Armed forces personnel (total),is_missing__Military expenditure (current USD),is_missing__Food imports,is_missing__Food exports,is_missing__Inflation,is_missing__Electricity production from hydroelectric sources (% of total),is_missing__Mortality rate infant (per 1000 live births),is_missing__Population density people per sq km land area,is_missing__Energy imports net percent of energy use,is_missing__voice and accountability,is_missing__Political stability and absence of violence terrorism,is_missing__Government effectiveness,is_missing__Regulatory quality,is_missing__Rule of law estimate,is_missing__Mean SPEI,is_missing__Mean temp,is_missing__Min temp,is_missing__Sum snow,is_missing__Sum rain,is_missing__Max temp
1983,China,Amur,0.8980472774548176,0.41814250559488764,1.0704840839768535,0.180170270260895,-0.24087140683795072,-0.2678793029651911,0.249168892980084,0.4688601249232416,0.3985674291075262,0.4407863272499991,0.02113197234233916,1.0992928937275166,-0.030374786,1.1227219974270546,-0.056709092923963256,1.2503533646109473,-0.016070438416351286,-0.742972527,0.45515767,0.527136904,-0.592773023,0.384715029,0.072533915,-0.27952639720524547,-0.064902885,0.341001701,-0.025022812,0.006536698,0.22880924776575004,0.259784352,0.2459508027793702,-0.049532822,0.5108777410938762,0.3387498581640878,-0.19411716130052892,-0.662032585,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1984,China,Amur,0.9288846874613184,0.3453810155321706,1.0709517057345805,0.20753366942840742,-0.24225576979123756,-0.23605306742051735,0.2128741852904961,0.5237940193921703,0.36935447795798826,0.45488127438279935,0.03038119028249424,1.1008935233590715,-0.158738714,1.1230801389942493,-0.1350032039281589,1.144045162477223,-0.033587378783205474,-0.714781373,0.430182912,0.552302039,-0.489186788,0.661487172,0.046593397,-0.27952639720524547,-1.57515023,1.380354294,-1.553217111,-1.486030238,0.21517354163580127,0.141083197,0.27187871783244666,-0.071687392,0.07526033756401684,1.0073364966647462,-0.23595827149632148,-0.74301252,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1985,China,Amur,0.9468804629527773,0.3947445508237339,1.084496324043843,0.11702965547087953,-0.2570927526226331,-0.22888002555434003,0.03976306356764253,0.6053610508710295,0.4887372380164255,0.5428464900150886,0.03998323505784133,1.1025344774048138,-0.226625413,1.1234558029336819,-0.12236556373932737,1.1568673270010639,-0.07654597594448721,-0.851643267,0.795932554,0.275985694,-1.209382667,1.190386394,0.039121733,-0.27952639720524547,-1.551027629,1.1933666,-1.535738503,-1.4692189,0.20728062963140703,0.3595045,0.2977498475952288,-0.057213828,0.0408330742225295,0.9855737803526081,-0.2551478493599886,-0.749232426,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1986,China,Amur,0.9208881950042562,0.43949475423738443,1.0599572075321806,0.11471336417816738,-0.25981010034571905,-0.21458494321371893,0.029312803283451084,0.5917578664967834,0.4395023547942305,0.5489404324915933,0.05047420576304117,1.104303618648361,-0.223515174,1.1239044378095715,-0.07317321153697302,1.2250691172002321,-0.11743465687659055,-0.857413858,0.795530179,0.280347322,-1.166199373,1.039628671,0.039111167,-0.27952639720524547,-1.465756926,0.40978258,-1.465481312,-1.416609104,0.20728062963140703,0.34832103,0.3235969756511033,-0.055721663,-0.07167591052795867,0.9704246468950004,-0.26169921633214815,-0.768160101,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1987,China,Amur,0.8817017175121491,0.4802912212354703,1.0741451878915937,0.13278132003084198,-0.2500366866587734,-0.1903419854869749,0.17198183451149124,0.5464797619046531,-0.002930892834301952,0.5152348983048842,0.06178677584541126,1.1061840404381134,-0.215218236,1.1244160337176161,-0.029676226884555717,1.2893870766626843,-0.15629417635363038,-0.867569142,0.80494223,0.264086226,-0.736146127,0.994092611,0.017949558,-0.27952639720524547,-1.578986849,-0.218964976,-1.567609356,-1.52390376,0.20926087103758603,0.356913424,0.3493119531029073,-0.060902349,0.02623350987109748,1.013507336543635,-0.2766088316678842,-0.758406174,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1988,China,Amur,0.9152111401554947,0.5176562126882538,1.0748861111428964,0.12787801344258734,-0.21506455276011582,-0.16390936728535607,0.06559921954517295,0.6097996113093734,0.6877166574842271,0.5464935611618877,0.07314560011842028,1.108044259729776,-0.197981188,1.124907437822761,-0.04053246645483553,1.2778649081751976,-0.19320706733541804,-0.831046184,0.758776653,0.364084617,-0.972917139,1.192646997,0.049994155,-0.27952639720524547,-1.445914133,1.205553827,-1.413263573,-1.333650283,0.21320730225878604,0.433837359,0.37491061598553416,-0.226702121,0.03836255041522529,0.9807684960635238,-0.3211370341238727,-0.759462879,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1989,China,Amur,0.9435230855437351,0.5520218974025028,1.084496324043843,0.1125937833770663,-0.2593683056322318,-0.1601157021259573,0.052133026024113564,0.6583134936564651,0.6661283618671022,0.5683161057935633,0.08396149106326616,1.1097900653583206,-0.189207837,1.1253201796566044,-0.09082216678831376,1.2006535579784388,-0.22825103998659058,-0.850582345,0.796118618,0.293812395,-1.069542741,0.981453491,0.059935962,-0.27952639720524547,-1.343214214,0.151992584,-1.335358183,-1.283447902,0.21320730225878604,0.453187175,0.40028831778291435,-0.238953664,-0.05173184296272815,0.9663959202859022,-0.5607068327385485,-0.76992403,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
1990,China,Amur,0.9805260441160023,0.5837493486280665,1.0508540724254445,0.1468946087312792,-0.260796037465582,-0.11550464409731558,-0.047362773585502255,0.6761709131119882,-0.5155798702939526,0.5099837544064438,0.09431127209172833,1.1114377898189136,-0.177924571,1.1256612701909574,-0.13740055025996561,1.1366361906609086,-0.2615019154498275,-0.729306125,0.465888428,0.368827365,-1.095806962,0.636459669,0.085395047,-0.27952639720524547,-1.336850919,0.702973714,-1.312382409,-1.234282945,0.21320730225878604,0.4014016,0.4255513111595739,-0.2545177,0.07691016761669163,0.9159545329160006,-0.5237142227307785,-0.725846814,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
1991,China,Amur,0.9677430104262063,0.7274648431052819,1.0214821515289374,0.08925547806269325,-0.25532493658223276,-0.14738461722352977,0.01160840143483311,0.7037985784208318,-0.4422459699469332,0.5040671820604095,0.10393333307378125,1.1129499697238001,-0.241873956,1.1257889304929716,-0.2808880574117655,1.3375906572038538,-0.3508921256800786,-1.534505869,1.270800303,-0.060116314,-1.103191926,0.799953281,0.101909352,-0.3027000197653518,-1.465684749,1.282391808,-1.443534201,-1.368542212,0.20529567016282563,0.779270378,0.45831749547963146,-0.167010706,0.05805541187170494,0.944685470091002,-0.7456987176635792,-0.753983955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
1992,China,Amur,0.9639293681144449,0.8327200943335593,1.0172473208518307,0.06096778789577859,-0.2424235374760794,-0.13187954982292546,-0.04916066366442547,0.7514170786923561,-0.09331132532667036,0.6068792008787801,0.11257355938771725,1.114291932532323,0.332362963,1.1257862633356341,-0.3692413647981212,1.216132515949384,-0.42758961193555206,-1.474955823,1.206005385,-0.01354123,-1.0935952,1.22618887,0.380070424,-0.27302042502559826,-1.408198452,0.280017057,-1.398320532,-1.343158874,0.193285417493379,0.768344766,0.49089737682314016,0.435186283,-0.0770612685104476,0.9324967091356828,-0.7456987176635792,-0.716581318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
