Basin,Country,Year,Population(total),Population in largest city,Rural population,Rural population growth (annual %),Urban population growth (annual %),Employment in Services (% of total employment),Employment in industry (% of total employment),Employment in agriculture (% of total employment),Unemployment,"Agriculture, forestry, and fishing, value added (current US$)",GDP,GDP per capital index,Energy use per capita kg oil equivalent,Annual freshwater withdrawals (industry),Annual freshwater withdrawals (agriculture),Individuals using the Internet (% of population),Armed forces personnel (total),Military expenditure (current USD),Food imports,Food exports,Inflation,Electricity production from hydroelectric sources (% of total),Mortality rate infant (per 1000 live births),Population density people per sq km land area,Energy imports net percent of energy use,voice and accountability,Political stability and absence of violence terrorism,Government effectiveness,Regulatory quality,Rule of law estimate,Mean SPEI,Mean temp,Min temp,Sum snow,Sum rain,Max temp,Conflict
Amur,China,1983,1023310000,6569409,802837860,0.628711884,4.474842022,Null,Null,Null,Null,75130342134,2.31E+11,31.86459963,621.9107172,7.781318969,87.27789275,0,Null,Null,Null,Null,Null,Null,44.1,108.9990147,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0
Amur,China,1984,1036825000,6828127,806618745,0.469834594,4.320433025,Null,Null,Null,Null,81986338179,2.60E+11,34.31288855,651.0749586,6.99872179,87.00207447,0,Null,Null,9.025616018,15.27033876,Null,Null,43.4,110.4385801,Null,Null,Null,Null,Null,Null,0.946150965,0.3448492,-4.7550759,466.5671474,591.9831429,5.3828713,0
Amur,China,1985,1051040000,7096280,810625110,0.495456908,4.339047124,Null,Null,Null,Null,86453492252,3.10E+11,38.99146309,657.7597361,7.518812622,86.30940007,0,3900000,Null,4.098320908,12.56623055,Null,Null,43.0,111.9527068,Null,Null,Null,Null,Null,Null,0.795280015,0.5023694,-4.5987732,436.754542,563.3323656,5.6019198,0
Amur,China,1986,1066790000,7375356,815464944,0.595274324,4.438100593,Null,Null,Null,Null,80117436064,3.01E+11,37.65788023,671.2095033,8.030558031,85.62683563,0,Null,Null,4.393763892,12.41722901,Null,Null,43.0,113.6303358,Null,Null,Null,Null,Null,Null,0.163045514,1.1355404,-4.1096366,417.5785728,475.6421615,6.3762221,0
Amur,China,1987,1084035000,7665406,821058949,0.683647432,4.531582208,Null,Null,Null,Null,71848942733,2.73E+11,37.25507205,694.42236,8.534369142,84.95485392,0,Null,Null,7.336018246,14.58959598,7.233835531,Null,43.1,115.4672063,Null,Null,Null,Null,Null,Null,-0.344259225,0.2151433,-5.1072017,475.5500094,551.4616969,5.3480333,0
Amur,China,1988,1101630000,7967288,826508924,0.66158062,4.514830994,Null,Null,Null,Null,78830830317,3.13E+11,39.01145829,720.3414958,9.030429061,84.29321073,0,Null,Null,Null,Null,18.81181794,Null,43.3,117.3413575,Null,Null,Null,Null,Null,Null,0.805113317,1.6061341,-3.3383311,430.5390523,561.3123244,6.5564057,0
Amur,China,1989,1118650000,8280178,831145763,0.559447167,4.402632038,Null,Null,Null,Null,85591114646,3.48E+11,37.14326724,724.1161051,9.518915302,83.64166929,0,3900000,11251332630,Null,Null,18.24563836,Null,43.3,119.154262,Null,Null,Null,Null,Null,Null,-0.044952238,2.3082319,-2.8715771,412.6799026,490.5913092,7.4889773,0
Amur,China,1990,1135185000,8605812,835019382,0.464975035,4.309678481,Null,Null,Null,Null,95931579346,3.62E+11,34.09149854,769.6015249,10,83,0,3500000,9926349251,Null,Null,3.052290121,20.39699453,43.3,120.9155061,-4.010264325,Null,Null,Null,Null,Null,0.399606668,2.5152931,-2.414469,357.6250234,593.380502,7.5467597,0
Amur,China,1991,1150780000,9050404,836478966,0.174643831,4.601685132,18.90030695,21.39988726,59.69980579,2.37,92140201603,3.85E+11,35.53774427,736.8872034,12.62283583,81.13884136,Null,3200000,9802375366,Null,Null,3.556685652,18.46006272,42.9,122.576625,-3.602487471,Null,Null,Null,Null,Null,0.867109946,1.3333302,-3.6627365,387.6258663,577.5459824,6.3768777,0
Amur,China,1992,1164970000,9518933,836448460,-0.00364702,4.42511729,19.79985495,21.70002434,58.50012071,2.37,91056260549,4.29E+11,39.30816688,752.6636417,15.15972195,79.33867244,Null,3160000,12244267842,4.890492873,11.34546567,6.35398134,17.5673113,42.3,124.0880888,-2.647719322,Null,Null,Null,Null,Null,0.058344259,1.7408035,-3.4267372,374.4862334,471.6455329,6.8988856,0
Amur,China,1993,1178440000,10010327,835478607,-0.116016198,4.301547743,21.19955696,22.40001212,56.40043076,2.69,85866351838,4.47E+11,43.47635519,788.1633877,17.6148151,77.59654365,0.000169,3030000,12360225861,2.868666519,10.83494666,14.61007864,18.10820385,41.3,125.522861,-0.37086044,Null,Null,Null,Null,Null,-0.014047574,1.6750609,-3.3548136,412.6626709,552.0528189,6.8001779,0
