Basin,Country,Year,GDP,Rural population growth,Urban population growth,Employment in agriculture,Unemployment,GDP per capital ,Energy use per capita,Freshwater withdrawals (agriculture),Internet,Food imports,Inflation,Electricity - hydroelectric,Population density,Energy imports,Government effectiveness,Political stability,SPEI,Mean Temperature,Precipitation,Conflict,is_missing__GDP,is_missing__Rural population growth,is_missing__Urban population growth,is_missing__Employment in agriculture,is_missing__Unemployment,is_missing__GDP per capital index,is_missing__Energy use per capita kg oil equivalent,is_missing__Annual freshwater withdrawals (agriculture),is_missing__Internet,is_missing__Food imports,is_missing__Inflation,is_missing__Electricity production from hydroelectric sources,is_missing__Population density,is_missing__Energy imports,is_missing__Government effectiveness,is_missing__Political stability,is_missing__SPEI,is_missing__Mean Temperature,is_missing__Perception
Atrak,Turkmenistan ,2007,-0.913706543,0.436480231,-0.147046148,-0.28041797,0.013272092,-1.288134985,1.644793222,0.866988734,-0.550833786,0.777458895,0.692177422,-1.766050381,-1.774351102,-2.295007631,-0.657181317,1.499503028,-0.957253276,0.235295573,-0.829541086,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Mekong,Lao People's Democratic Republic,1999,-1.889419796,-0.034346008,2.333685555,2.159219095,-1.025483234,0.216154555,-0.263275166,-0.111893857,-1.106207147,0.439018247,2.328000921,1.068639542,-1.235636143,-0.364000847,-1.03823459,1.008724934,0.399022568,0.907763876,1.481117864,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0
Indus,India,2021,1.488036836,-0.298718186,-0.329567835,0.252852751,0.166173787,0.328892059,-0.396536581,0.414154787,-1.131588815,-1.130803807,-0.230689082,-0.497279083,1.442042291,0.568214446,1.191069423,0.336264205,0.628059028,-0.600575592,0.392171992,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aral Sea,Kazakhastan,1995,-0.701976289,-1.483656099,-2.823363286,-0.119600957,0.996336763,-0.723524822,1.497496328,-0.440027739,-1.12389357,-0.08785904,2.859598247,-0.339996902,-2.168760167,-0.447155064,-1.419549561,-1.410535566,-0.633633951,-0.414499315,-1.43676167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Asi/ Orontes,Lebanon,2001,-0.765797842,0.12300264,-0.550300981,-1.637536223,0.57711041,-0.78402827,0.303753369,-1.504186219,0.158567976,0.850187575,-0.087499603,-1.089597586,1.342686739,-0.126294218,-1.277484808,0.177799482,0.026074842,-0.073391325,0.083910302,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
Ganges Brahmaputra Meghna,India,2001,0.6855676,0.540846205,0.061843177,0.984767645,0.425501834,0.064735899,-1.043222415,0.518956552,-0.791693878,-1.071090223,-0.333044382,-0.327752309,1.174515975,0.24851098,-1.174999146,1.254332527,-0.225806201,1.034360036,0.829196029,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Ganges Brahmaputra Meghna,Bhutan,2008,-1.934469235,-0.366726149,0.496016179,1.070487363,-0.46302625,1.770268387,-0.202735391,0.840534514,0.141268596,0.771284296,-0.033269629,1.705464379,-1.426479262,-0.591351318,1.280918562,2.032206282,1.726729122,-0.908336958,1.011776229,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Mekong,Lao People's Democratic Republic,2000,-1.810144967,-0.109143445,2.258521434,2.121628324,-1.068063311,-1.908387396,-1.376083882,-0.060750486,-1.059789279,0.795411,0.618942036,1.705732267,-1.222667895,-0.164506646,0.186450152,0.472208256,1.739386305,0.916785631,1.485925301,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Helmand,Afghanistan,2016,-0.754185319,0.968569286,0.459690803,0.267239353,0.862710851,0.557743191,-1.458651271,1.373819756,0.403537701,1.445524977,-0.285388157,1.492319927,-0.56522316,-0.460121286,-0.529009175,-2.03160938,-0.322021021,0.295840339,-1.171396364,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Karnaphuli,Myanmar,2006,-0.853252897,-0.081560363,-0.806676779,0.878879595,-1.729795567,0.239308656,-1.308576178,0.21725587,-1.0178328,-1.041602142,0.457936824,0.966501077,-0.295154785,-0.704688309,-0.733476205,0.144901017,-0.61567614,1.158084655,1.972159404,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Tigris-Euphrates/ Shatt al Arab,Iraq,2020,0.258543208,0.517472267,-0.09565172,-1.502580169,1.649897826,-0.839862416,0.244396708,-1.053828962,1.193496398,-0.755457762,-0.682541058,-1.06062379,-0.048952435,-2.873612991,-0.542321157,-1.806500445,-0.82995349,1.059341628,-0.87257961,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jordan,Syrian,1986,-0.892077433,1.465837223,0.783109542,1.423432738,0.480556833,0.209614264,-0.300526795,1.462320425,-1.131588815,0.872003278,0.911435414,0.971227285,-0.46584866,-0.279908623,-1.515589733,-1.737473199,-0.30669637,0.137673396,-0.285317177,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0
Amur,China,1990,0.559255525,-0.084445875,1.027082878,1.184507799,0.057125868,0.565261113,-0.238334542,-0.306886995,-1.131588815,-1.237138131,-0.395385309,0.035742085,0.14682766,-0.257638793,-1.034227176,0.965957315,0.708740556,-1.389035081,0.049944481,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
Aral Sea,Kazakhastan,2014,0.345366515,0.409697102,-0.678918094,-0.844671568,-0.138071368,-0.427896955,1.702807926,-1.698286324,1.291624847,-0.012760848,-0.11850864,-0.584431215,-2.128550761,-1.487544407,0.821255705,1.209729211,-1.131135552,-0.583612364,-1.190478498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
